Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Riyad Mahrez,leicester-city,manchester-city,GB1,GB1,67800000.0
18/19,Ante Palaversa,hnk-hajduk-split,manchester-city,KR1,GB1,6300000.0
18/19,Philippe Sandler,pec-zwolle,manchester-city,NL1,GB1,2500000.0
18/19,Ko Itakura,kawasaki-frontale,manchester-city,JAP1,GB1,1100000.0
18/19,Daniel Arzani,melbourne-city-fc,manchester-city,AUS1,GB1,890000.0
18/19,Brahim Díaz,manchester-city,real-madrid,GB1,ES1,17000000.0
18/19,Angus Gunn,manchester-city,fc-southampton,GB1,GB1,11300000.0
18/19,Jason Denayer,manchester-city,olympique-lyon,GB1,FR1,10000000.0
18/19,Pablo Maffeo,manchester-city,vfb-stuttgart,GB1,L1,9000000.0
18/19,Joe Hart,manchester-city,fc-burnley,GB1,GB1,3900000.0
18/19,Bersant Celina,manchester-city,swansea-city,GB1,GB2,3400000.0
18/19,Olarenwaju Kayode,manchester-city,shakhtar-donetsk,GB1,UKR1,3000000.0
18/19,Fred,shakhtar-donetsk,manchester-united,UKR1,GB1,59000000.0
18/19,Diogo Dalot,fc-porto,manchester-united,PO1,GB1,22000000.0
18/19,Lee Grant,stoke-city,manchester-united,GB2,GB1,1700000.0
18/19,Daley Blind,manchester-united,ajax-amsterdam,GB1,NL1,16000000.0
18/19,Sam Johnstone,manchester-united,west-bromwich-albion,GB1,GB2,7350000.0
18/19,Marouane Fellaini,manchester-united,shandong-taishan,GB1,CSL,7200000.0
18/19,Mousa Dembélé,tottenham-hotspur,guangzhou-city,GB1,CSL,5350000.0
18/19,Alisson,as-rom,fc-liverpool,IT1,GB1,62500000.0
18/19,Naby Keïta,rasenballsport-leipzig,fc-liverpool,L1,GB1,60000000.0
18/19,Fabinho,as-monaco,fc-liverpool,FR1,GB1,45000000.0
18/19,Xherdan Shaqiri,stoke-city,fc-liverpool,GB2,GB1,14700000.0
18/19,Dominic Solanke,fc-liverpool,afc-bournemouth,GB1,GB1,21200000.0
18/19,Danny Ward,fc-liverpool,leicester-city,GB1,GB1,14000000.0
18/19,Ragnar Klavan,fc-liverpool,cagliari-calcio,GB1,IT1,1520000.0
18/19,Kepa Arrizabalaga,athletic-bilbao,fc-chelsea,ES1,GB1,80000000.0
18/19,Christian Pulisic,borussia-dortmund,fc-chelsea,L1,GB1,64000000.0
18/19,Jorginho,ssc-neapel,fc-chelsea,IT1,GB1,57000000.0
18/19,Thibaut Courtois,fc-chelsea,real-madrid,GB1,ES1,35000000.0
18/19,Cesc Fàbregas,fc-chelsea,as-monaco,GB1,FR1,9000000.0
18/19,Lucas Torreira,sampdoria-genua,fc-arsenal,IT1,GB1,28650000.0
18/19,Bernd Leno,bayer-04-leverkusen,fc-arsenal,L1,GB1,25000000.0
18/19,Sokratis Papastathopoulos,borussia-dortmund,fc-arsenal,L1,GB1,16000000.0
18/19,Mattéo Guendouzi,fc-lorient,fc-arsenal,,GB1,8000000.0
18/19,Lucas Pérez,fc-arsenal,west-ham-united,GB1,GB1,4400000.0
18/19,Chuba Akpom,fc-arsenal,paok-thessaloniki,GB1,GR1,2200000.0
18/19,Joel Campbell,fc-arsenal,frosinone-calcio,GB1,IT1,1500000.0
18/19,Ben Gibson,fc-middlesbrough,fc-burnley,GB2,GB1,16900000.0
18/19,Matej Vydra,derby-county,fc-burnley,GB2,GB1,12200000.0
18/19,Sam Vokes,fc-burnley,stoke-city,GB1,GB2,8000000.0
18/19,Richarlison,fc-watford,fc-everton,GB1,GB1,39200000.0
18/19,Yerry Mina,fc-barcelona,fc-everton,ES1,GB1,30250000.0
18/19,Lucas Digne,fc-barcelona,fc-everton,ES1,GB1,20200000.0
18/19,Davy Klaassen,fc-everton,sv-werder-bremen,GB1,L1,13500000.0
18/19,Ramiro Funes Mori,fc-everton,fc-villarreal,GB1,ES1,9000000.0
18/19,Tyias Browning,fc-everton,guangzhou-fc,GB1,CSL,4600000.0
18/19,James Maddison,norwich-city,leicester-city,GB2,GB1,25000000.0
18/19,Ricardo Pereira,fc-porto,leicester-city,PO1,GB1,22000000.0
18/19,Çağlar Söyüncü,sc-freiburg,leicester-city,L1,GB1,21100000.0
18/19,Filip Benkovic,gnk-dinamo-zagreb,leicester-city,KR1,GB1,14500000.0
18/19,Rachid Ghezzal,as-monaco,leicester-city,FR1,GB1,14000000.0
18/19,Jonny Evans,west-bromwich-albion,leicester-city,GB2,GB1,4000000.0
18/19,Ahmed Musa,leicester-city,al-nasr-riad,GB1,SA1,16500000.0
18/19,Vicente Iborra,leicester-city,fc-villarreal,GB1,ES1,10000000.0
18/19,Miguel Almirón,atlanta-united-fc,newcastle-united,,GB1,24000000.0
18/19,Yoshinori Muto,1-fsv-mainz-05,newcastle-united,L1,GB1,10700000.0
18/19,Mikel Merino,borussia-dortmund,newcastle-united,L1,GB1,7000000.0
18/19,Federico Fernández,swansea-city,newcastle-united,GB2,GB1,6700000.0
18/19,Martin Dúbravka,ac-sparta-prag,newcastle-united,TS1,GB1,4000000.0
18/19,Fabian Schär,deportivo-la-coruna,newcastle-united,ES2,GB1,4000000.0
18/19,Aleksandar Mitrovic,newcastle-united,fc-fulham,GB1,GB1,24700000.0
18/19,Mikel Merino,newcastle-united,real-sociedad-san-sebastian,GB1,ES1,12000000.0
18/19,Chancel Mbemba,newcastle-united,fc-porto,GB1,PO1,4660000.0
18/19,Matz Sels,newcastle-united,rc-strassburg-alsace,GB1,FR1,4000000.0
18/19,Adam Armstrong,newcastle-united,blackburn-rovers,GB1,GB2,1900000.0
18/19,Ivan Toney,newcastle-united,peterborough-united,GB1,GB3,390000.0
18/19,Cheikhou Kouyaté,west-ham-united,crystal-palace,GB1,GB1,10700000.0
18/19,Jefferson Lerma,ud-levante,afc-bournemouth,ES1,GB1,30500000.0
18/19,Diego Rico,cd-leganes,afc-bournemouth,ES1,GB1,15000000.0
18/19,Chris Mepham,fc-brentford,afc-bournemouth,GB2,GB1,13600000.0
18/19,David Brooks,sheffield-united,afc-bournemouth,GB2,GB1,11300000.0
18/19,Benik Afobe,afc-bournemouth,wolverhampton-wanderers,GB1,GB1,11400000.0
18/19,Lewis Grabban,afc-bournemouth,nottingham-forest,GB1,GB2,6800000.0
18/19,Max Gradel,afc-bournemouth,fc-toulouse,GB1,FR1,2000000.0
18/19,Felipe Anderson,lazio-rom,west-ham-united,IT1,GB1,38000000.0
18/19,Issa Diop,fc-toulouse,west-ham-united,FR1,GB1,25000000.0
18/19,Andriy Yarmolenko,borussia-dortmund,west-ham-united,L1,GB1,20000000.0
18/19,Lukasz Fabianski,swansea-city,west-ham-united,GB2,GB1,8000000.0
18/19,Fabián Balbuena,corinthians-sao-paulo,west-ham-united,BRA1,GB1,4000000.0
18/19,Xande Silva,vitoria-guimaraes-sc,west-ham-united,PO1,GB1,1500000.0
18/19,Reece Burke,west-ham-united,hull-city,GB1,GB2,1700000.0
18/19,Gerard Deulofeu,fc-barcelona,fc-watford,ES1,GB1,13000000.0
18/19,Adam Masina,fc-bologna,fc-watford,IT1,GB1,5000000.0
18/19,Ben Foster,west-bromwich-albion,fc-watford,GB2,GB1,2800000.0
18/19,Ken Sema,ostersunds-fk,fc-watford,SE1,GB1,2250000.0
18/19,Filip Stuparevic,fk-vozdovac,fc-watford,,GB1,2250000.0
18/19,Marc Navarro,espanyol-barcelona,fc-watford,ES1,GB1,2000000.0
18/19,Ben Wilmot,fc-stevenage,fc-watford,GB4,GB1,1700000.0
18/19,Domingos Quina,west-ham-united-u23,fc-watford,,GB1,1100000.0
18/19,Nordin Amrabat,fc-watford,al-nasr-riad,GB1,SA1,8500000.0
18/19,Mauro Zárate,fc-watford,club-atletico-boca-juniors,GB1,AR1N,2300000.0
18/19,Valber Huerta,fc-watford,cd-universidad-catolica,GB1,CLPD,440000.0
18/19,Alireza Jahanbakhsh,az-alkmaar,brighton-amp-hove-albion,NL1,GB1,22500000.0
18/19,Yves Bissouma,losc-lille,brighton-amp-hove-albion,FR1,GB1,16800000.0
18/19,Bernardo,rasenballsport-leipzig,brighton-amp-hove-albion,L1,GB1,10000000.0
18/19,Alexis Mac Allister,argentinos-juniors,brighton-amp-hove-albion,AR1N,GB1,8000000.0
18/19,Martín Montoya,fc-valencia,brighton-amp-hove-albion,ES1,GB1,7000000.0
18/19,Florin Andone,deportivo-la-coruna,brighton-amp-hove-albion,ES2,GB1,6000000.0
18/19,David Button,fc-fulham,brighton-amp-hove-albion,GB1,GB1,4500000.0
18/19,Dan Burn,wigan-athletic,brighton-amp-hove-albion,GB2,GB1,3550000.0
18/19,Percy Tau,mamelodi-sundowns-fc,brighton-amp-hove-albion,SFA1,GB1,3200000.0
18/19,Jan Mlakar,nk-maribor,brighton-amp-hove-albion,SL1,GB1,3000000.0
18/19,Tudor Băluţă,fc-viitorul-constanta,brighton-amp-hove-albion,RO1,GB1,2900000.0
18/19,Anders Dreyer,esbjerg-fb,brighton-amp-hove-albion,DKMR,GB1,2200000.0
18/19,Billy Arce,independiente-del-valle,brighton-amp-hove-albion,EC1N,GB1,860000.0
18/19,Leo Østigård,molde-fk,brighton-amp-hove-albion,NO1,GB1,110000.0
18/19,Sam Baldock,brighton-amp-hove-albion,fc-reading,GB1,GB2,3900000.0
18/19,Connor Goldson,brighton-amp-hove-albion,glasgow-rangers,GB1,SC1,3400000.0
18/19,Oliver Norwood,brighton-amp-hove-albion,sheffield-united,GB1,GB2,2200000.0
18/19,Mathias Normann,brighton-amp-hove-albion,fk-rostov,GB1,RU1,1700000.0
18/19,Jamie Murphy,brighton-amp-hove-albion,glasgow-rangers,GB1,SC1,1200000.0
18/19,Jiri Skalak,brighton-amp-hove-albion,fc-millwall,GB1,GB2,1000000.0
18/19,Terence Kongolo,as-monaco,huddersfield-town,FR1,GB1,20000000.0
18/19,Adama Diakhaby,as-monaco,huddersfield-town,FR1,GB1,10000000.0
18/19,Ramadan Sobhi,stoke-city,huddersfield-town,GB2,GB1,6500000.0
18/19,Florent Hadergjonaj,fc-ingolstadt-04,huddersfield-town,L2,GB1,5000000.0
18/19,Jonas Lössl,1-fsv-mainz-05,huddersfield-town,L1,GB1,2500000.0
18/19,Juninho Bacuna,fc-groningen,huddersfield-town,NL1,GB1,2500000.0
18/19,Karlan Grant,charlton-athletic,huddersfield-town,GB3,GB1,1700000.0
18/19,Tom Ince,huddersfield-town,stoke-city,GB1,GB2,11200000.0
18/19,Michael Hefele,huddersfield-town,nottingham-forest,GB1,GB2,330000.0
18/19,Jannik Vestergaard,borussia-monchengladbach,fc-southampton,L1,GB1,25000000.0
18/19,Mohamed Elyounoussi,fc-basel-1893,fc-southampton,C1,GB1,18000000.0
18/19,Stuart Armstrong,celtic-glasgow,fc-southampton,SC1,GB1,7950000.0
18/19,Dusan Tadic,fc-southampton,ajax-amsterdam,GB1,NL1,13700000.0
18/19,Manolo Gabbiadini,fc-southampton,sampdoria-genua,GB1,IT1,11900000.0
18/19,Jonny Otto,atletico-madrid,wolverhampton-wanderers,ES1,GB1,21000000.0
18/19,Adama Traoré,fc-middlesbrough,wolverhampton-wanderers,GB2,GB1,20000000.0
18/19,Rui Patrício,sporting-lissabon,wolverhampton-wanderers,PO1,GB1,18000000.0
18/19,Diogo Jota,atletico-madrid,wolverhampton-wanderers,ES1,GB1,14000000.0
18/19,Willy Boly,fc-porto,wolverhampton-wanderers,PO1,GB1,12000000.0
18/19,João Moutinho,as-monaco,wolverhampton-wanderers,FR1,GB1,5600000.0
18/19,Léo Bonatini,al-hilal-riad,wolverhampton-wanderers,SA1,GB1,4000000.0
18/19,Rúben Vinagre,as-monaco,wolverhampton-wanderers,FR1,GB1,2250000.0
18/19,Benik Afobe,wolverhampton-wanderers,stoke-city,GB1,GB2,13500000.0
18/19,Danny Batth,wolverhampton-wanderers,stoke-city,GB1,GB2,3450000.0
18/19,Barry Douglas,wolverhampton-wanderers,leeds-united,GB1,GB2,3400000.0
18/19,Ben Marshall,wolverhampton-wanderers,norwich-city,GB1,GB2,1700000.0
18/19,Prince Oniangué,wolverhampton-wanderers,sm-caen,GB1,FR1,500000.0
18/19,Ben Stevenson,wolverhampton-wanderers,colchester-united,GB1,GB4,250000.0
18/19,Emiliano Sala,fc-nantes,cardiff-city,FR1,GB1,17000000.0
18/19,Josh Murphy,norwich-city,cardiff-city,GB2,GB1,11400000.0
18/19,Bobby De Cordova-Reid,bristol-city,cardiff-city,GB2,GB1,11350000.0
18/19,Greg Cunningham,preston-north-end,cardiff-city,GB2,GB1,4000000.0
18/19,Alex Smithies,queens-park-rangers,cardiff-city,GB2,GB1,4000000.0
18/19,Leandro Bacuna,fc-reading,cardiff-city,GB2,GB1,3450000.0
18/19,Jean Michaël Seri,ogc-nizza,fc-fulham,FR1,GB1,30000000.0
18/19,Frank Anguissa,olympique-marseille,fc-fulham,FR1,GB1,24850000.0
18/19,Alfie Mawson,swansea-city,fc-fulham,GB2,GB1,16850000.0
18/19,Joe Bryan,bristol-city,fc-fulham,GB2,GB1,6700000.0
18/19,Fabri,besiktas-istanbul,fc-fulham,TR1,GB1,6000000.0
18/19,Maxime Le Marchand,ogc-nizza,fc-fulham,FR1,GB1,4000000.0
18/19,Ryan Babel,besiktas-istanbul,fc-fulham,TR1,GB1,2000000.0
18/19,Cauley Woodrow,fc-fulham,fc-barnsley,GB1,GB3,850000.0
19/20,Rodri,atletico-madrid,manchester-city,ES1,GB1,70000000.0
19/20,João Cancelo,juventus-turin,manchester-city,IT1,GB1,65000000.0
19/20,Angeliño,psv-eindhoven,manchester-city,NL1,GB1,12000000.0
19/20,Pedro Porro,fc-girona,manchester-city,ES2,GB1,12000000.0
19/20,Zack Steffen,columbus-crew-sc,manchester-city,,GB1,6820000.0
19/20,Slobodan Tedic,fk-cukaricki,manchester-city,SER1,GB1,3000000.0
19/20,Ryotaro Meshino,gamba-osaka,manchester-city,JAP1,GB1,1000000.0
19/20,Danilo,manchester-city,juventus-turin,GB1,IT1,37000000.0
19/20,Douglas Luiz,manchester-city,aston-villa,GB1,GB1,16800000.0
19/20,Fabian Delph,manchester-city,fc-everton,GB1,GB1,9500000.0
19/20,Manu García,manchester-city,sporting-gijon,GB1,ES2,4000000.0
19/20,Pablo Marí,manchester-city,flamengo-rio-de-janeiro,GB1,BRA1,1700000.0
19/20,Takumi Minamino,red-bull-salzburg,fc-liverpool,A1,GB1,8500000.0
19/20,Sepp van den Berg,pec-zwolle,fc-liverpool,NL1,GB1,1900000.0
19/20,Danny Ings,fc-liverpool,fc-southampton,GB1,GB1,25100000.0
19/20,Ryan Kent,fc-liverpool,glasgow-rangers,GB1,SC1,7200000.0
19/20,Simon Mignolet,fc-liverpool,fc-brugge,GB1,BE1,7000000.0
19/20,Allan,fc-liverpool,clube-atletico-mineiro,GB1,BRA1,3500000.0
19/20,Mateo Kovacic,real-madrid,fc-chelsea,ES1,GB1,45000000.0
19/20,Eden Hazard,fc-chelsea,real-madrid,GB1,ES1,115000000.0
19/20,Ola Aina,fc-chelsea,fc-turin,GB1,IT1,9800000.0
19/20,Tomas Kalas,fc-chelsea,bristol-city,GB1,GB2,9000000.0
19/20,David Luiz,fc-chelsea,fc-arsenal,GB1,GB1,8700000.0
19/20,Michael Hector,fc-chelsea,fc-fulham,GB1,GB2,5900000.0
19/20,Kenneth Omeruo,fc-chelsea,cd-leganes,GB1,ES1,5000000.0
19/20,Tanguy Ndombélé,olympique-lyon,tottenham-hotspur,FR1,GB1,62000000.0
19/20,Steven Bergwijn,psv-eindhoven,tottenham-hotspur,NL1,GB1,30000000.0
19/20,Ryan Sessegnon,fc-fulham,tottenham-hotspur,GB2,GB1,27000000.0
19/20,Jack Clarke,leeds-united,tottenham-hotspur,GB2,GB1,11000000.0
19/20,Christian Eriksen,tottenham-hotspur,inter-mailand,GB1,IT1,27000000.0
19/20,Kieran Trippier,tottenham-hotspur,atletico-madrid,GB1,ES1,22000000.0
19/20,Vincent Janssen,tottenham-hotspur,cf-monterrey,GB1,,9000000.0
19/20,Georges-Kevin N'Koudou,tottenham-hotspur,besiktas-istanbul,GB1,TR1,4500000.0
19/20,Nicolas Pépé,losc-lille,fc-arsenal,FR1,GB1,80000000.0
19/20,William Saliba,as-saint-etienne,fc-arsenal,FR1,GB1,30000000.0
19/20,Kieran Tierney,celtic-glasgow,fc-arsenal,SC1,GB1,27000000.0
19/20,Gabriel Martinelli,ituano-futebol-clube-sp-,fc-arsenal,,GB1,7100000.0
19/20,Alex Iwobi,fc-arsenal,fc-everton,GB1,GB1,30400000.0
19/20,Krystian Bielik,fc-arsenal,derby-county,GB1,GB2,8199999.999999999
19/20,Laurent Koscielny,fc-arsenal,fc-girondins-bordeaux,GB1,FR1,5000000.0
19/20,David Ospina,fc-arsenal,ssc-neapel,GB1,IT1,3500000.0
19/20,Carl Jenkinson,fc-arsenal,nottingham-forest,GB1,GB2,2200000.0
19/20,Takuma Asano,fc-arsenal,fk-partizan-belgrad,GB1,SER1,1000000.0
19/20,Nacho Monreal,fc-arsenal,real-sociedad-san-sebastian,GB1,ES1,250000.0
19/20,Harry Maguire,leicester-city,manchester-united,GB1,GB1,87000000.0
19/20,Bruno Fernandes,sporting-lissabon,manchester-united,PO1,GB1,65000000.0
19/20,Aaron Wan-Bissaka,crystal-palace,manchester-united,GB1,GB1,55000000.0
19/20,Daniel James,swansea-city,manchester-united,GB2,GB1,17800000.0
19/20,Romelu Lukaku,manchester-united,inter-mailand,GB1,IT1,74000000.0
19/20,Matteo Darmian,manchester-united,parma-calcio-1913,GB1,IT1,2480000.0
19/20,Ashley Young,manchester-united,inter-mailand,GB1,IT1,1700000.0
19/20,Raúl Jiménez,benfica-lissabon,wolverhampton-wanderers,PO1,GB1,38000000.0
19/20,Daniel Podence,olympiakos-piraus,wolverhampton-wanderers,GR1,GB1,19600000.0
19/20,Patrick Cutrone,ac-mailand,wolverhampton-wanderers,IT1,GB1,18000000.0
19/20,Pedro Neto,lazio-rom,wolverhampton-wanderers,IT1,GB1,17900000.0
19/20,Leander Dendoncker,rsc-anderlecht,wolverhampton-wanderers,BE1,GB1,13800000.0
19/20,Bruno Jordão,lazio-rom,wolverhampton-wanderers,IT1,GB1,8900000.0
19/20,Renat Dadashov,gd-estoril-praia,wolverhampton-wanderers,PO2,GB1,500000.0
19/20,Ivan Cavaleiro,wolverhampton-wanderers,fc-fulham,GB1,GB2,11800000.0
19/20,Kortney Hause,wolverhampton-wanderers,aston-villa,GB1,GB1,3400000.0
19/20,Moise Kean,juventus-turin,fc-everton,IT1,GB1,27500000.0
19/20,André Gomes,fc-barcelona,fc-everton,ES1,GB1,25000000.0
19/20,Jean-Philippe Gbamin,1-fsv-mainz-05,fc-everton,L1,GB1,25000000.0
19/20,Jarrad Branthwaite,carlisle-united,fc-everton,GB4,GB1,1100000.0
19/20,Idrissa Gueye,fc-everton,fc-paris-saint-germain,GB1,FR1,30000000.0
19/20,Nikola Vlašić,fc-everton,zska-moskau,GB1,RU1,23000000.0
19/20,Ademola Lookman,fc-everton,rasenballsport-leipzig,GB1,L1,18000000.0
19/20,Henry Onyekuru,fc-everton,as-monaco,GB1,FR1,13500000.0
19/20,James McCarthy,fc-everton,crystal-palace,GB1,GB1,3300000.0
19/20,Youri Tielemans,as-monaco,leicester-city,FR1,GB1,45000000.0
19/20,Ayoze Pérez,newcastle-united,leicester-city,GB1,GB1,33400000.0
19/20,Dennis Praet,sampdoria-genua,leicester-city,IT1,GB1,19200000.0
19/20,James Justin,luton-town,leicester-city,GB2,GB1,6700000.0
19/20,Callum Elder,leicester-city,hull-city,GB1,GB2,1500000.0
19/20,Sébastien Haller,eintracht-frankfurt,west-ham-united,L1,GB1,50000000.0
19/20,Pablo Fornals,fc-villarreal,west-ham-united,ES1,GB1,28000000.0
19/20,Jarrod Bowen,hull-city,west-ham-united,GB2,GB1,21300000.0
19/20,Albian Ajeti,fc-basel-1893,west-ham-united,C1,GB1,11300000.0
19/20,Darren Randolph,fc-middlesbrough,west-ham-united,GB2,GB1,4700000.0
19/20,Marko Arnautovic,west-ham-united,shanghai-port,GB1,,25000000.0
19/20,Chicharito,west-ham-united,fc-sevilla,GB1,ES1,7750000.0
19/20,Pedro Obiang,west-ham-united,us-sassuolo,GB1,IT1,7750000.0
19/20,Edimilson Fernandes,west-ham-united,1-fsv-mainz-05,GB1,L1,7500000.0
19/20,Sead Haksabanovic,west-ham-united,ifk-norrkoping,GB1,SE1,2600000.0
19/20,Lucas Pérez,west-ham-united,deportivo-alaves,GB1,ES1,2300000.0
19/20,Reece Oxford,west-ham-united,fc-augsburg,GB1,L1,2000000.0
19/20,Sam Byram,west-ham-united,norwich-city,GB1,GB1,830000.0
19/20,Ismaïla Sarr,fc-stade-rennes,fc-watford,FR1,GB1,30000000.0
19/20,João Pedro,fluminense-rio-de-janeiro,fc-watford,BRA1,GB1,11500000.0
19/20,Ignacio Pussetto,udinese-calcio,fc-watford,IT1,GB1,8500000.0
19/20,Craig Dawson,west-bromwich-albion,fc-watford,GB2,GB1,6000000.0
19/20,Dodi Lukébakio,fc-watford,hertha-bsc,GB1,L1,20000000.0
19/20,Mamadou Obbi Oulare,fc-watford,standard-luttich,GB1,BE1,3400000.0
19/20,Marvin Zeegelaar,fc-watford,udinese-calcio,GB1,IT1,2000000.0
19/20,Jordan Ayew,swansea-city,crystal-palace,GB2,GB1,2800000.0
19/20,Joelinton,tsg-1899-hoffenheim,newcastle-united,L1,GB1,43500000.0
19/20,Allan Saint-Maximin,ogc-nizza,newcastle-united,FR1,GB1,18000000.0
19/20,Emil Krafth,amiens-sc,newcastle-united,FR1,GB1,5400000.0
19/20,Joselu,newcastle-united,deportivo-alaves,GB1,ES1,2240000.0
19/20,Philip Billing,huddersfield-town,afc-bournemouth,GB2,GB1,16500000.0
19/20,Arnaut Danjuma,fc-brugge,afc-bournemouth,BE1,GB1,16460000.0
19/20,Lloyd Kelly,bristol-city,afc-bournemouth,GB2,GB1,14800000.0
19/20,Jack Stacey,luton-town,afc-bournemouth,GB2,GB1,4450000.0
19/20,Tyrone Mings,afc-bournemouth,aston-villa,GB1,GB1,22300000.0
19/20,Lys Mousset,afc-bournemouth,sheffield-united,GB1,GB1,11100000.0
19/20,Connor Mahoney,afc-bournemouth,fc-millwall,GB1,GB2,1100000.0
19/20,Jay Rodríguez,west-bromwich-albion,fc-burnley,GB2,GB1,10000000.0
19/20,Josh Brownhill,bristol-city,fc-burnley,GB2,GB1,10000000.0
19/20,Bailey Peacock-Farrell,leeds-united,fc-burnley,GB2,GB1,2750000.0
19/20,Erik Pieters,stoke-city,fc-burnley,GB2,GB1,1100000.0
19/20,Tom Heaton,fc-burnley,aston-villa,GB1,GB1,8800000.0
19/20,Nahki Wells,fc-burnley,bristol-city,GB1,GB2,4750000.0
19/20,Ché Adams,birmingham-city,fc-southampton,GB2,GB1,16700000.0
19/20,Moussa Djenepo,standard-luttich,fc-southampton,BE1,GB1,15700000.0
19/20,Matt Targett,fc-southampton,aston-villa,GB1,GB1,15500000.0
19/20,Sam Gallagher,fc-southampton,blackburn-rovers,GB1,GB2,6500000.0
19/20,Charlie Austin,fc-southampton,west-bromwich-albion,GB1,GB2,4300000.0
19/20,Adam Webster,bristol-city,brighton-amp-hove-albion,GB2,GB1,22220000.0
19/20,Neal Maupay,fc-brentford,brighton-amp-hove-albion,GB2,GB1,15560000.0
19/20,Leandro Trossard,krc-genk,brighton-amp-hove-albion,BE1,GB1,15560000.0
19/20,Matt Clarke,fc-portsmouth,brighton-amp-hove-albion,GB3,GB1,3900000.0
19/20,Aaron Mooy,huddersfield-town,brighton-amp-hove-albion,GB2,GB1,3300000.0
19/20,Tariq Lamptey,fc-chelsea-u23,brighton-amp-hove-albion,,GB1,1200000.0
19/20,Ales Mateju,brighton-amp-hove-albion,brescia-calcio,GB1,IT1,1800000.0
19/20,Anders Dreyer,brighton-amp-hove-albion,fc-midtjylland,GB1,DKMR,1000000.0
19/20,Gaëtan Bong,brighton-amp-hove-albion,nottingham-forest,GB1,GB2,500000.0
19/20,Sam McCallum,coventry-city,norwich-city,GB3,GB1,4150000.000000001
19/20,Lukas Rupp,tsg-1899-hoffenheim,norwich-city,L1,GB1,500000.0
19/20,Daniel Adshead,afc-rochdale,norwich-city,GB3,GB1,335000.0
19/20,Nélson Oliveira,norwich-city,aek-athen,GB1,GR1,1000000.0
19/20,Marcel Franke,norwich-city,hannover-96,GB1,L2,1000000.0
19/20,Dennis Srbeny,norwich-city,sc-paderborn-07,GB1,L1,200000.0
19/20,Sander Berge,krc-genk,sheffield-united,BE1,GB1,25000000.0
19/20,Oli McBurnie,swansea-city,sheffield-united,GB2,GB1,19100000.0
19/20,Callum Robinson,preston-north-end,sheffield-united,GB2,GB1,7800000.0
19/20,Luke Freeman,queens-park-rangers,sheffield-united,GB2,GB1,5600000.0
19/20,Ben Osborn,nottingham-forest,sheffield-united,GB2,GB1,3900000.0
19/20,Richard Stearman,sheffield-united,huddersfield-town,GB1,GB2,200000.0
19/20,Ched Evans,sheffield-united,fleetwood-town,GB1,GB3,150000.0
19/20,Wesley Moraes,fc-brugge,aston-villa,BE1,GB1,25000000.0
19/20,Ezri Konsa,fc-brentford,aston-villa,GB2,GB1,13300000.0
19/20,Marvelous Nakamba,fc-brugge,aston-villa,BE1,GB1,12000000.0
19/20,Ally Samatta,krc-genk,aston-villa,BE1,GB1,10500000.0
19/20,Mahmoud Trezeguet,kasimpasa,aston-villa,TR1,GB1,10000000.0
19/20,Anwar El Ghazi,losc-lille,aston-villa,FR1,GB1,9000000.0
19/20,Björn Engels,stade-reims,aston-villa,FR1,GB1,8000000.0
19/20,Jota Peleteiro,birmingham-city,aston-villa,GB2,GB1,4500000.0
19/20,Jonathan Kodjia,aston-villa,al-gharafa-sc,GB1,QSL,3000000.0
20/21,Thomas Partey,atletico-madrid,fc-arsenal,ES1,GB1,50000000.0
20/21,Gabriel Magalhães,losc-lille,fc-arsenal,FR1,GB1,26000000.0
20/21,Pablo Marí,flamengo-rio-de-janeiro,fc-arsenal,BRA1,GB1,6000000.0
20/21,Rúnar Alex Rúnarsson,dijon-fco,fc-arsenal,FR1,GB1,2000000.0
20/21,Emiliano Martínez,fc-arsenal,aston-villa,GB1,GB1,17400000.0
20/21,Ollie Watkins,fc-brentford,aston-villa,GB2,GB1,34000000.0
20/21,Bertrand Traoré,olympique-lyon,aston-villa,FR1,GB1,18400000.0
20/21,Morgan Sanson,olympique-marseille,aston-villa,FR1,GB1,15800000.0
20/21,Matty Cash,nottingham-forest,aston-villa,GB2,GB1,15750000.0
20/21,Scott Hogan,aston-villa,birmingham-city,GB1,GB2,2770000.0
20/21,Moisés Caicedo,independiente-del-valle,brighton-amp-hove-albion,,GB1,28200000.0
20/21,Jakub Moder,lech-posen,brighton-amp-hove-albion,PL1,GB1,11000000.0
20/21,Andi Zeqiri,fc-lausanne-sport,brighton-amp-hove-albion,C1,GB1,4000000.0
20/21,Michal Karbownik,legia-warschau,brighton-amp-hove-albion,PL1,GB1,3900000.0
20/21,Jan Paul van Hecke,nac-breda,brighton-amp-hove-albion,NL2,GB1,2000000.0
20/21,Joël Veltman,ajax-amsterdam,brighton-amp-hove-albion,NL1,GB1,1000000.0
20/21,Anthony Knockaert,brighton-amp-hove-albion,fc-fulham,GB1,GB1,11700000.0
20/21,Aaron Mooy,brighton-amp-hove-albion,shanghai-port,GB1,CSL,4500000.0
20/21,David Button,brighton-amp-hove-albion,west-bromwich-albion,GB1,GB1,1100000.0
20/21,Dale Stephens,brighton-amp-hove-albion,fc-burnley,GB1,GB1,1100000.0
20/21,Kai Havertz,bayer-04-leverkusen,fc-chelsea,L1,GB1,80000000.0
20/21,Timo Werner,rasenballsport-leipzig,fc-chelsea,L1,GB1,53000000.0
